SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE,LOGPVALUE
DICER1,TSPAN18,-0.04679129070864409,0.19231923850599456,0.7159772692764566
DICER1,TSPAN19,-0.04044105654520833,0.2598881546406455,0.5852135146176443
DICER1,TSPAN2,-0.06258180941816881,0.08107610108874252,1.0911071444925748
DICER1,TSPAN3,-0.040041363768492245,0.2646313290117112,0.5773587421156854
DICER1,TSPAN31,-0.051211329121648524,0.15356274479722173,0.8137141338583975
DICER1,TSPAN32,0.004249474401784034,0.9057990074130956,0.04296815955861644
DICER1,TSPAN33,0.08274787805572195,0.020982102884518496,1.6781509877642127
DICER1,TSPAN4,0.06514914676022115,0.06934116987808407,1.1590088354902586
DICER1,TSPAN5,-0.003136120726088126,0.9304057997933052,0.031327591045753826
DICER1,TSPAN6,0.009388429163629317,0.7937432724501571,0.1003199426450456
DICER1,TSPAN7,-0.07870709541689588,0.02814738947830367,1.5505618774641432
DICER1,TSPAN8,-0.10825029572110689,0.0024993378442918087,2.602175034792064
DICER1,TSPAN9,0.025571730814067176,0.4763205021661961,0.3221007248373131
DICER1,TSPEAR,-0.054386262325780636,0.12960539346661396,0.8873769251317052
DICER1,TSPO,0.023094517871277895,0.5200830542488369,0.2839272965157199
DICER1,TSPO2,-0.0030996995399842023,0.931212015356819,0.03095142898982742
DICER1,TSPOAP1,-0.006156731096718599,0.863867534274161,0.06355284727147213
DICER1,TSPYL1,0.08192132196093305,0.022302813066264426,1.6516403556914883
DICER1,TSPYL2,-0.054004783434123196,0.13232073444132258,0.8783720972494451
DICER1,TSPYL4,-0.04654637413286639,0.19465965519926173,0.710724050225978
DICER1,TSPYL5,-0.025686105099026912,0.4743497754393795,0.32390130068140466
DICER1,TSPYL6,0.03684959705222042,0.3046423044766767,0.5162097880483805
DICER1,TSR1,0.06744750917039519,0.06005268081402378,1.2214676004717295
DICER1,TSR2,0.06878265524884136,0.0551468469537252,1.2584793135002041
DICER1,TSR3,0.0795363962603948,0.026525576798377852,1.5763351635951763
DICER1,TSSC4,-0.001655701749289081,0.9632244179002224,0.016272516508892446
DICER1,TSSK1B,0.05471946340444879,0.12726919884092053,0.895276689763385
DICER1,TSSK2,-0.027954974207071107,0.43619369330812613,0.36032061794411446
DICER1,TSSK3,-0.024512764680557606,0.49477794799448405,0.30558966489928274
DICER1,TSSK4,0.0069760382517923955,0.8459647044878015,0.07264775630607312
DICER1,TSSK6,-0.026964928560736463,0.45262220419279,0.3442641447651419
DICER1,TST,-0.07059586534428394,0.04902247595691548,1.3096047578071017
DICER1,TSTA3,0.04081754600517618,0.2554743612592641,0.5926526780041561
DICER1,TSTD1,-0.03028552313837138,0.39890481169652797,0.39913072508237046
DICER1,TSTD2,0.02715659033176297,0.4494148666559353,0.347352565206064
DICER1,TTBK1,0.016560935110457413,0.6446427131735213,0.19068092209237977
DICER1,TTBK2,0.0013588164234113673,0.9698151957930059,0.013311015315000745
DICER1,TTC1,-0.03964881414250575,0.2693473718801095,0.5696872576659551
DICER1,TTC12,0.030046900335989876,0.4026323965360439,0.395091283916348
DICER1,TTC13,-0.0056951148834687,0.8739858201286754,0.05849561346379706
DICER1,TTC14,0.07365948345663842,0.03997126744314909,1.3982520805405276
DICER1,TTC16,0.02899900608101515,0.41924689501882384,0.37753014513495875
DICER1,TTC17,0.004914967713130859,0.8911320646223121,0.05005792931155282
DICER1,TTC19,0.0496530603833537,0.16648643533217533,0.7786211453430604
DICER1,TTC21A,-0.04158502300642392,0.24663854534422386,0.607939049710512
DICER1,TTC21B,-0.019766727355016375,0.5819670648154791,0.2351015926243903
DICER1,TTC22,0.05366335889309294,0.1347880802287606,0.8703485122499892
DICER1,TTC23,0.07071316578886866,0.04864672113131343,1.3129464265686235
DICER1,TTC23L,-0.021196569320043827,0.5549598965806615,0.2557383994412982
DICER1,TTC24,-0.05000843052248104,0.16346957965683734,0.7865630541129435
DICER1,TTC26,0.008674811034152336,0.8091064122349039,0.09199435699429778
DICER1,TTC27,0.05668688898539315,0.11413529630884636,0.9425800293620145
DICER1,TTC28,0.07532495797757562,0.035674376790432574,1.447643605006316
DICER1,TTC29,0.029110250156891438,0.4174642438347513,0.37938071627682446
DICER1,TTC3,-0.07518575815528174,0.03601778565944627,1.443482990723715
DICER1,TTC30A,0.04907689578838429,0.17146618024580623,0.7658215268225201
DICER1,TTC30B,-0.07501614298619601,0.036440028329302585,1.4384212940685508
DICER1,TTC31,-0.009449143522763583,0.7924397711907828,0.10103373609253626
DICER1,TTC32,-0.04481894455231039,0.21176139533815716,0.6741532100441395
DICER1,TTC33,-0.04445160082442763,0.21553381159541066,0.6664845907586134
DICER1,TTC34,-0.018440279214435355,0.6075561969192136,0.21641354508250235
DICER1,TTC36,-0.004606909627481837,0.8979171085146863,0.04676375350670576
DICER1,TTC37,0.05293274362460316,0.14018704234808427,0.8532921268600355
DICER1,TTC38,0.05356988397608293,0.13546973876249796,0.8681577066804682
DICER1,TTC39A,0.003234809772873069,0.9282215899498998,0.03234833433644568
DICER1,TTC39B,0.051039083375607065,0.15495269917229706,0.8098008542396419
DICER1,TTC39C,-0.052321645984297706,0.1448290521151854,0.8391443117041251
DICER1,TTC4,0.09129136496793354,0.010847127069362144,1.964685272242981
DICER1,TTC5,-0.04431494382549506,0.216949461172307,0.6636414241712494
DICER1,TTC7A,-0.05376923484475436,0.13401918732172732,0.8728330199082334
DICER1,TTC7B,-0.029541884782420664,0.4105897731783232,0.38659187208070755
DICER1,TTC8,0.15279994314562168,1.86640104530743e-05,4.728995030980741
DICER1,TTC9,0.07115133216160488,0.04726440047629583,1.3254658465291853
DICER1,TTC9B,-0.02393061952248054,0.5050847648879108,0.29663573112118685
DICER1,TTC9C,-0.026170321594398874,0.46605621729234403,0.3315616940668851
DICER1,TTF1,0.013182515335886349,0.7135294729474388,0.1465880832724201
